Agent_ID,Stop_Number,Location_ID,City,Priority,Distance_km,Package_Weight_kg,Delivery_Deadline,Zone,Agent_Total_Distance_km
Agent_1,1,DUR100,Dibrugarh,High,2162.7,8.3,Same Day,East,34126.5
Agent_1,2,TIR066,Tirupati,High,1627.8,8.9,Same Day,South,34126.5
Agent_1,3,NEL064,Nellore,High,1544.3,11.0,Same Day,South,34126.5
Agent_1,4,GUW043,Guwahati,High,1459.4,16.6,Same Day,East,34126.5
Agent_1,5,PUN008,Pune,High,1173.0,14.6,Same Day,Other,34126.5
Agent_1,6,RAN045,Ranchi,High,999.0,22.9,Same Day,East,34126.5
Agent_1,7,JAM048,Jammu,High,509.6,6.5,Same Day,North,34126.5
Agent_1,8,LUC010,Lucknow,High,417.0,1.6,Same Day,Central,34126.5
Agent_1,9,THR056,Thrissur,Medium,2004.8,7.9,Next Day,South,34126.5
Agent_1,10,PUD075,Puducherry,Medium,1779.5,10.6,Next Day,South,34126.5
Agent_1,11,GAN072,Gangtok,Medium,1316.8,6.3,Next Day,East,34126.5
Agent_1,12,HOW078,Howrah,Medium,1301.7,22.5,Next Day,East,34126.5
Agent_1,13,BOK081,Bokaro,Medium,1053.9,8.6,Next Day,East,34126.5
Agent_1,14,SUR011,Surat,Medium,937.9,6.1,Next Day,West,34126.5
Agent_1,15,BHI059,Bhilai,Medium,920.5,18.1,Next Day,Central,34126.5
Agent_1,16,UJJ097,Ujjain,Medium,607.4,16.5,Next Day,West,34126.5
Agent_1,17,JAL077,Jalalabad,Medium,415.3,19.8,Next Day,North,34126.5
Agent_1,18,AMS029,Amritsar,Medium,404.1,24.7,Next Day,North,34126.5
Agent_1,19,AJM095,Ajmer,Medium,349.7,20.2,Next Day,Other,34126.5
Agent_1,20,HAR088,Haridwar,Medium,180.9,12.7,Next Day,North,34126.5
Agent_1,21,FAR023,Faridabad,Medium,25.2,16.4,Next Day,North,34126.5
Agent_1,22,GHZ019,Ghaziabad,Medium,24.7,9.6,Next Day,North,34126.5
Agent_1,23,KAV074,Kavaratti,Low,2321.4,2.1,3-5 Days,Other,34126.5
Agent_1,24,COI036,Coimbatore,Low,1956.9,1.3,3-5 Days,South,34126.5
Agent_1,25,SIL068,Silchar,Low,1830.6,12.1,3-5 Days,East,34126.5
Agent_1,26,MAN055,Mangalore,Low,1715.4,10.5,3-5 Days,South,34126.5
Agent_1,27,KOL006,Kolkata,Low,1303.8,15.7,3-5 Days,East,34126.5
Agent_1,28,DHA058,Dhanbad,Low,1072.3,9.7,3-5 Days,East,34126.5
Agent_1,29,RAJ025,Rajkot,Low,951.4,4.7,3-5 Days,West,34126.5
Agent_1,30,GOR094,Gorakhpur,Low,615.8,11.5,3-5 Days,East,34126.5
Agent_1,31,RAE089,Rae Bareli,Low,462.4,9.3,3-5 Days,Central,34126.5
Agent_1,32,BIK050,Bikaner,Low,387.1,6.9,3-5 Days,North,34126.5
Agent_1,33,KUR067,Kurukshetra,Low,152.9,3.5,3-5 Days,North,34126.5
Agent_1,34,BHA086,Bharatpur,Low,141.3,6.0,3-5 Days,Central,34126.5
Agent_2,1,KOC079,Kochi,High,2041.8,15.4,Same Day,South,34071.2
Agent_2,2,CHE004,Chennai,High,1755.8,14.0,Same Day,South,34071.2
Agent_2,3,GOA041,Panaji (Goa),High,1500.0,22.0,Same Day,South,34071.2
Agent_2,4,HUB038,Hubli,High,1488.7,7.1,Same Day,South,34071.2
Agent_2,5,HYD005,Hyderabad,High,1255.4,20.8,Same Day,Other,34071.2
Agent_2,6,PAT017,Patna,High,853.4,16.1,Same Day,East,34071.2
Agent_2,7,NAG013,Nagpur,High,851.7,2.5,Same Day,Central,34071.2
Agent_2,8,DEH049,Dehradun,High,205.4,14.3,Same Day,North,34071.2
Agent_2,9,TIR054,Tiruchirappalli,Medium,1821.6,15.3,Next Day,South,34071.2
Agent_2,10,MYS042,Mysore,Medium,1815.5,8.2,Next Day,South,34071.2
Agent_2,11,BEL065,Belgaum (Belagavi),Medium,1459.2,20.3,Next Day,South,34071.2
Agent_2,12,MUM002,Mumbai,Medium,1148.1,24.3,Next Day,West,34071.2
Agent_2,13,ROU098,Rourkela,Medium,1110.7,13.8,Next Day,East,34071.2
Agent_2,14,NAS022,Nashik,Medium,1018.6,23.4,Next Day,West,34071.2
Agent_2,15,AHM007,Ahmedabad,Medium,775.7,21.6,Next Day,West,34071.2
Agent_2,16,VAR026,Varanasi,Medium,678.6,18.4,Next Day,Central,34071.2
Agent_2,17,UDA051,Udaipur,Medium,573.0,11.2,Next Day,Other,34071.2
Agent_2,18,JHA093,Jhansi,Medium,370.2,18.6,Next Day,Central,34071.2
Agent_2,19,GWL032,Gwalior,Medium,283.2,17.3,Next Day,Central,34071.2
Agent_2,20,MAT087,Mathura,Medium,140.8,10.1,Next Day,Central,34071.2
Agent_2,21,MOR091,Moradabad,Medium,128.2,14.4,Next Day,North,34071.2
Agent_2,22,TVM034,Thiruvananthapuram,Low,2234.1,19.5,3-5 Days,South,34071.2
Agent_2,23,AIZ071,Aizawl,Low,2013.7,5.2,3-5 Days,East,34071.2
Agent_2,24,AGA070,Agartala,Low,1812.4,9.1,3-5 Days,East,34071.2
Agent_2,25,TUM085,Tumkur,Low,1697.6,8.0,3-5 Days,South,34071.2
Agent_2,26,VIS016,Visakhapatnam,Low,1360.9,7.3,3-5 Days,Other,34071.2
Agent_2,27,NAD030,Nanded,Low,1053.7,16.2,3-5 Days,Other,34071.2
Agent_2,28,BHW080,Bhavnagar,Low,868.3,11.9,3-5 Days,West,34071.2
Agent_2,29,DEW096,Dewas,Low,622.1,4.1,3-5 Days,Central,34071.2
Agent_2,30,JOD031,Jodhpur,Low,490.2,14.1,3-5 Days,Other,34071.2
Agent_2,31,KOT040,Kota,Low,400.9,23.6,3-5 Days,Central,34071.2
Agent_2,32,AGR021,Agra,Low,178.1,7.0,3-5 Days,Central,34071.2
Agent_2,33,MER024,Meerut,Low,63.6,15.4,3-5 Days,North,34071.2
Agent_3,1,KOZ035,Kozhikode,High,1935.5,6.1,Same Day,South,34123.8
Agent_3,2,MAD053,Madurai,High,1922.3,12.8,Same Day,South,34123.8
Agent_3,3,SHA044,Shillong,High,1491.2,10.2,Same Day,East,34123.8
Agent_3,4,SIM099,Siliguri,High,1349.6,19.7,Same Day,East,34123.8
Agent_3,5,BHU046,Bhubaneswar,High,1270.2,11.7,Same Day,East,34123.8
Agent_3,6,RAI047,Raipur,High,931.9,7.0,Same Day,Central,34123.8
Agent_3,7,IND014,Indore,High,669.2,6.2,Same Day,West,34123.8
Agent_3,8,LDH020,Ludhiana,High,285.8,5.6,Same Day,North,34123.8
Agent_3,9,IMP069,Imphal,Medium,2063.5,7.4,Next Day,East,34123.8
Agent_3,10,BLR003,Bangalore,Medium,1739.8,9.8,Next Day,South,34123.8
Agent_3,11,GUN061,Guntur,Medium,1379.2,14.7,Next Day,Other,34123.8
Agent_3,12,DUR039,Durgapur,Medium,1156.5,5.7,Next Day,East,34123.8
Agent_3,13,SOL083,Solapur,Medium,1122.8,16.9,Next Day,Other,34123.8
Agent_3,14,AUR028,Aurangabad,Medium,989.8,9.8,Next Day,West,34123.8
Agent_3,15,VDO018,Vadodara,Medium,809.3,9.4,Next Day,West,34123.8
Agent_3,16,SRI027,Srinagar,Medium,649.8,4.5,Next Day,North,34123.8
Agent_3,17,ALL057,Allahabad (Prayagraj),Medium,583.1,13.2,Next Day,Central,34123.8
Agent_3,18,KAN012,Kanpur,Medium,390.8,7.6,Next Day,Central,34123.8
Agent_3,19,CHA033,Chandigarh,Medium,239.3,21.1,Next Day,North,34123.8
Agent_3,20,JAI009,Jaipur,Medium,235.3,17.8,Next Day,Central,34123.8
Agent_3,21,DEL001,New Delhi,Medium,0.0,13.6,Next Day,North,34123.8
Agent_3,22,POR073,Port Blair,Low,3062.1,4.8,3-5 Days,Islands,34123.8
Agent_3,23,DIN084,Dindigul,Low,1901.2,5.4,3-5 Days,South,34123.8
Agent_3,24,SAL062,Salem,Low,1804.5,6.6,3-5 Days,South,34123.8
Agent_3,25,VEL076,Vellore,Low,1691.2,7.7,3-5 Days,South,34123.8
Agent_3,26,WAR060,Warangal,Low,1200.6,5.8,3-5 Days,Other,34123.8
Agent_3,27,JAM082,Jamnagar,Low,1002.3,13.4,3-5 Days,West,34123.8
Agent_3,28,JAB037,Jabalpur,Low,664.8,8.2,3-5 Days,Central,34123.8
Agent_3,29,BHO015,Bhopal,Low,595.7,3.0,3-5 Days,Central,34123.8
Agent_3,30,UNN090,Unnao,Low,411.6,7.5,3-5 Days,Central,34123.8
Agent_3,31,SHI052,Shimla,Low,289.5,8.4,3-5 Days,North,34123.8
Agent_3,32,ROO063,Roorkee,Low,152.4,4.2,3-5 Days,North,34123.8
Agent_3,33,SAH092,Saharanpur,Low,133.0,5.9,3-5 Days,North,34123.8
