Location_ID,City,Latitude,Longitude,Distance_km,Priority,Package_Weight_kg,Delivery_Deadline
DEL001,New Delhi,28.6139,77.209,0.0,Medium,13.6,Next Day
MUM002,Mumbai,19.076,72.8777,1148.1,Medium,24.3,Next Day
BLR003,Bangalore,12.9716,77.5946,1739.8,Medium,9.8,Next Day
CHE004,Chennai,13.0827,80.2707,1755.8,High,14.0,Same Day
HYD005,Hyderabad,17.385,78.4867,1255.4,High,20.8,Same Day
KOL006,Kolkata,22.5726,88.3639,1303.8,Low,15.7,3-5 Days
AHM007,Ahmedabad,23.0225,72.5714,775.7,Medium,21.6,Next Day
PUN008,Pune,18.5204,73.8567,1173.0,High,14.6,Same Day
JAI009,Jaipur,26.9124,75.7873,235.3,Medium,17.8,Next Day
LUC010,Lucknow,26.8467,80.9462,417.0,High,1.6,Same Day
SUR011,Surat,21.1702,72.8311,937.9,Medium,6.1,Next Day
KAN012,Kanpur,26.4499,80.3319,390.8,Medium,7.6,Next Day
NAG013,Nagpur,21.1458,79.0882,851.7,High,2.5,Same Day
IND014,Indore,22.7196,75.8577,669.2,High,6.2,Same Day
BHO015,Bhopal,23.2599,77.4126,595.7,Low,3.0,3-5 Days
VIS016,Visakhapatnam,17.6868,83.2185,1360.9,Low,7.3,3-5 Days
PAT017,Patna,25.5941,85.1376,853.4,High,16.1,Same Day
VDO018,Vadodara,22.3072,73.1812,809.3,Medium,9.4,Next Day
GHZ019,Ghaziabad,28.6692,77.4538,24.7,Medium,9.6,Next Day
LDH020,Ludhiana,30.9009,75.8573,285.8,High,5.6,Same Day
AGR021,Agra,27.1767,78.0081,178.1,Low,7.0,3-5 Days
NAS022,Nashik,19.9975,73.7898,1018.6,Medium,23.4,Next Day
FAR023,Faridabad,28.4089,77.3178,25.2,Medium,16.4,Next Day
MER024,Meerut,28.9845,77.7064,63.6,Low,15.4,3-5 Days
RAJ025,Rajkot,22.3039,70.8022,951.4,Low,4.7,3-5 Days
VAR026,Varanasi,25.3176,82.9739,678.6,Medium,18.4,Next Day
SRI027,Srinagar,34.0837,74.7973,649.8,Medium,4.5,Next Day
AUR028,Aurangabad,19.8762,75.3433,989.8,Medium,9.8,Next Day
AMS029,Amritsar,31.634,74.8723,404.1,Medium,24.7,Next Day
NAD030,Nanded,19.1383,77.321,1053.7,Low,16.2,3-5 Days
JOD031,Jodhpur,26.2389,73.0243,490.2,Low,14.1,3-5 Days
GWL032,Gwalior,26.2183,78.1828,283.2,Medium,17.3,Next Day
CHA033,Chandigarh,30.7333,76.7794,239.3,Medium,21.1,Next Day
TVM034,Thiruvananthapuram,8.5241,76.9366,2234.1,Low,19.5,3-5 Days
KOZ035,Kozhikode,11.2588,75.7804,1935.5,High,6.1,Same Day
COI036,Coimbatore,11.0168,76.9558,1956.9,Low,1.3,3-5 Days
JAB037,Jabalpur,23.1815,79.9864,664.8,Low,8.2,3-5 Days
HUB038,Hubli,15.3647,75.124,1488.7,High,7.1,Same Day
DUR039,Durgapur,23.5204,87.3119,1156.5,Medium,5.7,Next Day
KOT040,Kota,25.2138,75.8648,400.9,Low,23.6,3-5 Days
GOA041,Panaji (Goa),15.4909,73.8278,1500.0,High,22.0,Same Day
MYS042,Mysore,12.2958,76.6394,1815.5,Medium,8.2,Next Day
GUW043,Guwahati,26.1445,91.7362,1459.4,High,16.6,Same Day
SHA044,Shillong,25.5788,91.8933,1491.2,High,10.2,Same Day
RAN045,Ranchi,23.3441,85.3096,999.0,High,22.9,Same Day
BHU046,Bhubaneswar,20.2961,85.8245,1270.2,High,11.7,Same Day
RAI047,Raipur,21.2514,81.6296,931.9,High,7.0,Same Day
JAM048,Jammu,32.7266,74.857,509.6,High,6.5,Same Day
DEH049,Dehradun,30.3165,78.0322,205.4,High,14.3,Same Day
BIK050,Bikaner,28.0229,73.3119,387.1,Low,6.9,3-5 Days
UDA051,Udaipur,24.5854,73.7125,573.0,Medium,11.2,Next Day
SHI052,Shimla,31.1048,77.1734,289.5,Low,8.4,3-5 Days
MAD053,Madurai,9.9252,78.1198,1922.3,High,12.8,Same Day
TIR054,Tiruchirappalli,10.7905,78.7047,1821.6,Medium,15.3,Next Day
MAN055,Mangalore,12.9141,74.856,1715.4,Low,10.5,3-5 Days
THR056,Thrissur,10.5276,76.2144,2004.8,Medium,7.9,Next Day
ALL057,Allahabad (Prayagraj),25.4358,81.8463,583.1,Medium,13.2,Next Day
DHA058,Dhanbad,23.7957,86.4304,1072.3,Low,9.7,3-5 Days
BHI059,Bhilai,21.2094,81.3783,920.5,Medium,18.1,Next Day
WAR060,Warangal,17.9784,79.5941,1200.6,Low,5.8,3-5 Days
GUN061,Guntur,16.3067,80.4365,1379.2,Medium,14.7,Next Day
SAL062,Salem,11.6643,78.146,1804.5,Low,6.6,3-5 Days
ROO063,Roorkee,29.8543,77.888,152.4,Low,4.2,3-5 Days
NEL064,Nellore,14.4426,79.9865,1544.3,High,11.0,Same Day
BEL065,Belgaum (Belagavi),15.8497,74.4977,1459.2,Medium,20.3,Next Day
TIR066,Tirupati,13.6288,79.4192,1627.8,High,8.9,Same Day
KUR067,Kurukshetra,29.9695,76.8783,152.9,Low,3.5,3-5 Days
SIL068,Silchar,24.8333,92.7789,1830.6,Low,12.1,3-5 Days
IMP069,Imphal,24.817,93.9368,2063.5,Medium,7.4,Next Day
AGA070,Agartala,23.8315,91.2868,1812.4,Low,9.1,3-5 Days
AIZ071,Aizawl,23.7271,92.7176,2013.7,Low,5.2,3-5 Days
GAN072,Gangtok,27.3389,88.6065,1316.8,Medium,6.3,Next Day
POR073,Port Blair,11.6234,92.7265,3062.1,Low,4.8,3-5 Days
KAV074,Kavaratti,10.5626,72.6369,2321.4,Low,2.1,3-5 Days
PUD075,Puducherry,11.9416,79.8083,1779.5,Medium,10.6,Next Day
VEL076,Vellore,12.9165,79.1325,1691.2,Low,7.7,3-5 Days
JAL077,Jalalabad,30.6011,74.2568,415.3,Medium,19.8,Next Day
HOW078,Howrah,22.5958,88.2636,1301.7,Medium,22.5,Next Day
KOC079,Kochi,9.9312,76.2673,2041.8,High,15.4,Same Day
BHW080,Bhavnagar,21.7645,72.1519,868.3,Low,11.9,3-5 Days
BOK081,Bokaro,23.6693,86.1511,1053.9,Medium,8.6,Next Day
JAM082,Jamnagar,22.4707,70.0577,1002.3,Low,13.4,3-5 Days
SOL083,Solapur,17.6599,75.9064,1122.8,Medium,16.9,Next Day
DIN084,Dindigul,10.3624,77.9695,1901.2,Low,5.4,3-5 Days
TUM085,Tumkur,13.3379,77.1173,1697.6,Low,8.0,3-5 Days
BHA086,Bharatpur,27.2152,77.5,141.3,Low,6.0,3-5 Days
MAT087,Mathura,27.4924,77.6737,140.8,Medium,10.1,Next Day
HAR088,Haridwar,29.9457,78.1642,180.9,Medium,12.7,Next Day
RAE089,Rae Bareli,26.2085,81.2408,462.4,Low,9.3,3-5 Days
UNN090,Unnao,26.5393,80.488,411.6,Low,7.5,3-5 Days
MOR091,Moradabad,28.8389,78.776,128.2,Medium,14.4,Next Day
SAH092,Saharanpur,29.964,77.5361,133.0,Low,5.9,3-5 Days
JHA093,Jhansi,25.4484,78.5685,370.2,Medium,18.6,Next Day
GOR094,Gorakhpur,26.7606,83.3732,615.8,Low,11.5,3-5 Days
AJM095,Ajmer,26.4499,74.6399,349.7,Medium,20.2,Next Day
DEW096,Dewas,22.9623,76.0508,622.1,Low,4.1,3-5 Days
UJJ097,Ujjain,23.1765,75.7885,607.4,Medium,16.5,Next Day
ROU098,Rourkela,22.2604,84.8536,1110.7,Medium,13.8,Next Day
SIM099,Siliguri,26.7271,88.3953,1349.6,High,19.7,Same Day
DUR100,Dibrugarh,27.4728,94.912,2162.7,High,8.3,Same Day
